# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T16:53:11.757107
source,target,source_type,target_type
173,170,Type b,Type b
174,1,Type b,Type b
174,156,Type b,Type b
174,117,Type b,Type b
175,169,Type b,Type b
175,85,Type b,Type b
175,121,Type b,Type b
176,76,Type b,Type b
176,142,Type b,Type b
176,5,Type b,Type b
177,42,Type b,Type b
177,1,Type b,Type b
177,69,Type b,Type b
178,85,Type b,Type b
178,20,Type b,Type b
178,60,Type b,Type b
179,52,Type b,Type b
179,173,Type b,Type b
179,85,Type b,Type b
180,4,Type b,Type b
180,121,Type b,Type b
180,54,Type b,Type b
181,147,Type b,Type b
181,4,Type b,Type b
181,7,Type b,Type b
182,64,Type b,Type b
182,14,Type b,Type b
182,13,Type b,Type b
183,2,Type b,Type b
183,91,Type b,Type b
183,16,Type b,Type b
184,21,Type b,Type a
184,32,Type b,Type b
184,177,Type b,Type b
185,131,Type b,Type b
185,22,Type b,Type b
185,162,Type b,Type b
186,17,Type b,Type b
186,16,Type b,Type b
186,106,Type b,Type b
187,126,Type b,Type b
187,105,Type b,Type b
187,76,Type b,Type b
188,48,Type b,Type b
188,26,Type b,Type b
188,77,Type b,Type b
189,4,Type b,Type b
189,6,Type b,Type b
189,138,Type b,Type b
190,132,Type b,Type b
190,47,Type b,Type b
190,133,Type b,Type b
191,58,Type b,Type b
191,15,Type b,Type b
191,98,Type b,Type b
192,1,Type b,Type b
192,100,Type b,Type b
192,156,Type b,Type b
193,0,Type b,Type b
193,147,Type b,Type b
193,64,Type b,Type b
194,25,Type b,Type b
194,9,Type b,Type b
194,58,Type b,Type b
195,37,Type b,Type b
195,41,Type b,Type b
195,153,Type b,Type b
196,172,Type b,Type b
196,153,Type b,Type b
196,86,Type b,Type b
197,10,Type b,Type b
197,118,Type b,Type b
197,41,Type b,Type b
198,23,Type b,Type b
198,77,Type b,Type b
198,3,Type b,Type b
199,138,Type b,Type b
199,20,Type b,Type b
199,9,Type b,Type b
200,47,Type b,Type b
200,122,Type b,Type b
200,4,Type b,Type b
201,114,Type b,Type b
201,60,Type b,Type b
201,44,Type b,Type b
202,54,Type b,Type b
202,4,Type b,Type b
202,3,Type b,Type b
203,5,Type a,Type b
203,27,Type a,Type b
203,90,Type a,Type b
204,183,Type b,Type b
204,68,Type b,Type b
204,133,Type b,Type b
205,199,Type b,Type b
205,25,Type b,Type b
205,114,Type b,Type b
206,0,Type a,Type b
206,189,Type a,Type b
206,30,Type a,Type b
207,2,Type a,Type b
207,105,Type a,Type b
207,192,Type a,Type b
208,20,Type b,Type b
208,139,Type b,Type b
208,15,Type b,Type b
209,183,Type b,Type b
209,195,Type b,Type b
209,23,Type b,Type b
210,13,Type b,Type b
210,4,Type b,Type b
210,20,Type b,Type b
211,189,Type b,Type b
211,52,Type b,Type b
211,140,Type b,Type b
212,116,Type b,Type b
212,137,Type b,Type b
212,27,Type b,Type b
213,194,Type b,Type b
213,121,Type b,Type b
213,74,Type b,Type b
214,143,Type b,Type b
214,7,Type b,Type b
214,67,Type b,Type b
215,101,Type a,Type b
215,173,Type a,Type b
215,138,Type a,Type b
216,179,Type b,Type b
216,129,Type b,Type b
216,133,Type b,Type b
217,161,Type b,Type b
217,32,Type b,Type b
217,106,Type b,Type b
218,56,Type b,Type b
218,97,Type b,Type b
218,180,Type b,Type b
219,128,Type a,Type b
219,217,Type a,Type b
219,118,Type a,Type b
220,124,Type a,Type b
220,205,Type a,Type b
220,0,Type a,Type b
221,148,Type b,Type b
221,103,Type b,Type b
221,108,Type b,Type b
222,4,Type b,Type b
222,64,Type b,Type b
222,201,Type b,Type b
223,216,Type b,Type b
223,104,Type b,Type b
223,38,Type b,Type b
224,8,Type b,Type a
224,204,Type b,Type b
224,69,Type b,Type b
225,40,Type b,Type b
225,60,Type b,Type b
225,100,Type b,Type b
226,2,Type b,Type b
226,139,Type b,Type b
226,121,Type b,Type b
227,91,Type a,Type b
227,0,Type a,Type b
227,156,Type a,Type b
