# Beta MLE analysis
# Sweep: n0, value: 10
# Node type: b, a: 0
# Generated: 2026-02-16T00:00:16.232515
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
33,0.258526340427481,0.0006561269704915916,0.25863526910738194,-0.04211671527895746,-0.2958048424845229,0.21157141192660797,16.03490186866047,1.4152515935137653,15.625,2.623371959427004,-6.434238239061093,11.680982157915102,6.571436458857604,0.43218051662565493,6.450995861291088,1.8670078257097344,-4.832430926358528,8.566446577777997
34,0.2585352916697649,0.0009271236455528478,0.25863526910738194,-0.038655763369812385,-0.39712336477336196,0.31981183803373725,15.984862929734653,1.3302255618707342,15.625,2.3031227503017817,-6.210320845670916,10.81656634627448,6.555210047862274,0.40560864772789584,6.450995861291088,1.6154743982478492,-4.672060990849706,7.903009787345406
36,0.25844772935743754,0.0009667909895689807,0.25863526910738194,-0.07251128223604132,-0.44631605870973323,0.3012934942376506,15.975956894208217,1.324178484157525,15.625,2.2461241229325877,-6.228618175675572,10.720866421540748,6.552215648372047,0.40350116432576055,6.450995861291088,1.5690567666974309,-4.685809505143655,7.823923038538516
37,0.2584610554492327,0.0010260478549833749,0.25863526910738194,-0.06735881720636668,-0.4640749567044849,0.3293573222917516,15.964250367409834,1.2819739743352483,15.625,2.171202351422937,-6.033431084322651,10.375835787168526,6.5486419408321535,0.3902972548451337,6.450995861291088,1.5136590015037266,-4.536527097468913,7.5638451004763665
39,0.2587317229386857,0.0006870153575807164,0.25863526910738194,0.03729337906490165,-0.22833758455107633,0.30292434268087964,15.88125228572323,1.1628825841866168,15.625,1.6400146286286712,-5.802433910165677,9.082463167423018,6.521855546675641,0.35115758913548745,6.450995861291088,1.098430178970405,-4.345033073619677,6.541893431560488
40,0.2587887083496882,0.0009538078595453504,0.25863526910738194,0.059326495893550255,-0.3094584199600342,0.42811141174713474,15.893392674265835,1.1580820359734005,15.625,1.717713115301342,-5.694011914928421,9.129438145531106,6.525565726964521,0.350078940384585,6.450995861291088,1.1559434741058503,-4.270799123656737,6.582686071868437
42,0.2585788411698385,0.0006635058361775982,0.25863526910738194,-0.021817572575544283,-0.27835870034498217,0.2347235551938936,15.89652742254967,1.1922865420368354,15.625,1.7377755043178922,-5.892858364717854,9.368409373353638,6.5263507912357595,0.359432199545198,6.450995861291088,1.1681131342345963,-4.403618847519644,6.739845115988837
43,0.2584911680641092,0.0008971829218737867,0.25863526910738194,-0.05571592914224606,-0.40260710333136573,0.29117524504687364,15.86418583542424,1.1276239383185973,15.625,1.5307893467151417,-5.686003858523881,8.747582551954164,6.516134228878077,0.3377831957452895,6.450995861291088,1.0097412707679507,-4.22639905559844,6.245881597134341
45,0.2588804425559912,0.0008965538260208489,0.25863526910738194,0.09479505616361066,-0.25185288134123585,0.4414429936684572,15.885854846023182,1.1010849227364747,15.625,1.6694710145483669,-5.377472490965071,8.716414520061806,6.523300132121871,0.3288557472393656,6.450995861291088,1.1208233951077406,-3.976928243715186,6.218575033930668
46,0.25864225120406376,0.0006643735143332159,0.25863526910738194,0.002699591863830085,-0.2541770192132837,0.2595762029409438,15.89067794583517,1.1162663805775939,15.625,1.7003388533450903,-5.44376598235151,8.844443689041691,6.524794031758471,0.33406733310082837,6.450995861291088,1.1439810543083118,-4.0345578919865455,6.322520000603169
48,0.2586024997552038,0.0007491299665828577,0.25863526910738194,-0.012670101912727985,-0.3023173604510942,0.2769771566256382,15.830800263114362,1.0917437286855383,15.625,1.3171216839319186,-5.670038179655527,8.304281547519365,6.505268797016892,0.3256352761379691,6.450995861291088,0.8413109679928014,-4.206518594136187,5.88914053012179
49,0.25862686712922617,0.0008755949360411571,0.25863526910738194,-0.0032485817517337234,-0.3417928719651545,0.3352957084616871,15.812318810815338,1.1048882857903226,15.625,1.1988403892181623,-5.872444639839903,8.270125418276226,6.499382002953435,0.32961025112216685,6.450995861291088,0.7500569323363767,-4.359390635286142,5.859504499958896
51,0.25860514343458274,0.000911277047396291,0.25863526910738194,-0.011647936842940559,-0.3639885323623942,0.34069265867651305,15.7583100428174,1.123150170816613,15.625,0.853184274031355,-6.334976819194968,8.041345367257678,6.481887576886865,0.33494440013900456,6.450995861291088,0.4788673913300924,-4.713267394382971,5.671002177043155
53,0.2587274680951122,0.0007762784158749506,0.25863526910738194,0.03564826562459061,-0.2644958015608674,0.3357923328100486,15.780220591263046,1.0745866069767867,15.625,0.9934117840834915,-5.883942500567943,7.870766068734926,6.489042704696739,0.31930254627622073,6.450995861291088,0.5897824804686213,-4.359880379992682,5.539445340929924
54,0.25866618938128894,0.0010987708327352952,0.25863526910738194,0.011955165284963647,-0.4128789404916542,0.4367892710615815,15.707257452602473,1.0519102446141642,15.625,0.5264476966558277,-6.205777868874823,7.258673262186478,6.465646767482122,0.31205932706415124,6.450995861291088,0.22711076717543605,-4.61027145681031,5.064492991161181
56,0.25860694170550097,0.0010631411792022293,0.25863526910738194,-0.0109526446175469,-0.4220107276359256,0.4001054384008318,15.688565434090016,0.9988921996263624,15.625,0.40681877817610257,-5.986091299432617,6.799728855784823,6.459721672491798,0.2946221798220363,6.450995861291088,0.13526301036819902,-4.431817579311041,4.702343600047438
57,0.25851842173271694,0.0005674025548285898,0.25863526910738194,-0.04517843798653897,-0.26456172503275066,0.1742048490596727,15.6755005184926,0.975498943694061,15.625,0.3232033183526369,-5.919989921289353,6.5663965579946275,6.45537592017794,0.2869631478717243,6.450995861291088,0.0678974065560088,-4.380456832727166,4.5162516458391835
59,0.25856759768454285,0.00040214342300049297,0.25863526910738194,-0.02616480848595795,-0.18165149999110158,0.12932188301918568,15.614516325554318,0.967446481309224,15.625,-0.06709551645236615,-6.2587529968314,6.124561963926667,6.435976877627651,0.28477131209221346,6.450995861291088,-0.23281651370384665,-4.647194048821656,4.181561021413963
