# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-19T13:50:06.767823
source,target,source_origin,target_origin,source_type,target_type
186,33,added,added,Type b,Type b
187,15,added,added,Type a,Type b
187,54,added,added,Type a,Type b
188,52,added,added,Type b,Type a
188,149,added,added,Type b,Type a
189,119,added,added,Type b,Type b
189,120,added,added,Type b,Type a
190,100,added,added,Type a,Type b
190,1,added,initial_core,Type a,Type b
191,43,added,added,Type b,Type a
191,3,added,initial_core,Type b,Type b
192,12,added,added,Type b,Type a
192,178,added,added,Type b,Type a
193,167,added,added,Type b,Type a
193,86,added,added,Type b,Type b
194,102,added,added,Type a,Type a
194,51,added,added,Type a,Type a
195,178,added,added,Type b,Type a
195,1,added,initial_core,Type b,Type b
196,45,added,added,Type a,Type a
196,1,added,initial_core,Type a,Type b
197,44,added,added,Type a,Type a
197,10,added,added,Type a,Type a
198,90,added,added,Type a,Type b
198,18,added,added,Type a,Type a
199,43,added,added,Type b,Type a
199,164,added,added,Type b,Type b
200,69,added,added,Type a,Type a
200,25,added,added,Type a,Type b
201,24,added,added,Type b,Type a
201,101,added,added,Type b,Type a
202,102,added,added,Type a,Type a
202,88,added,added,Type a,Type a
203,91,added,added,Type b,Type a
203,52,added,added,Type b,Type a
204,9,added,added,Type b,Type a
204,6,added,added,Type b,Type b
205,179,added,added,Type a,Type b
205,101,added,added,Type a,Type a
206,89,added,added,Type b,Type b
206,16,added,added,Type b,Type b
207,69,added,added,Type a,Type a
207,197,added,added,Type a,Type a
208,2,added,initial_core,Type b,Type a
208,35,added,added,Type b,Type a
209,24,added,added,Type a,Type a
209,103,added,added,Type a,Type a
210,66,added,added,Type a,Type a
210,26,added,added,Type a,Type b
211,38,added,added,Type b,Type b
211,84,added,added,Type b,Type b
212,209,added,added,Type a,Type a
212,8,added,added,Type a,Type a
213,180,added,added,Type a,Type a
213,36,added,added,Type a,Type b
214,23,added,added,Type a,Type a
214,147,added,added,Type a,Type b
215,101,added,added,Type b,Type a
215,154,added,added,Type b,Type b
216,187,added,added,Type b,Type a
216,25,added,added,Type b,Type b
217,156,added,added,Type b,Type a
217,76,added,added,Type b,Type a
218,34,added,added,Type a,Type a
218,168,added,added,Type a,Type b
219,35,added,added,Type b,Type a
219,96,added,added,Type b,Type a
220,130,added,added,Type a,Type b
220,37,added,added,Type a,Type a
221,35,added,added,Type b,Type a
221,170,added,added,Type b,Type b
222,175,added,added,Type a,Type a
222,105,added,added,Type a,Type a
223,10,added,added,Type a,Type a
223,24,added,added,Type a,Type a
224,204,added,added,Type b,Type b
224,148,added,added,Type b,Type a
225,64,added,added,Type a,Type a
225,1,added,initial_core,Type a,Type b
226,124,added,added,Type b,Type b
