# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:28.318197
source,target,source_type,target_type
135,1,Type a,Type b
135,31,Type a,Type a
136,18,Type b,Type b
136,2,Type b,Type a
136,10,Type b,Type b
137,14,Type a,Type a
137,1,Type a,Type b
137,37,Type a,Type a
138,73,Type b,Type b
138,22,Type b,Type a
138,2,Type b,Type a
139,18,Type b,Type b
139,1,Type b,Type b
139,5,Type b,Type b
140,2,Type b,Type a
140,65,Type b,Type b
140,133,Type b,Type b
141,20,Type a,Type b
141,24,Type a,Type b
141,18,Type a,Type b
142,107,Type b,Type a
142,85,Type b,Type a
142,65,Type b,Type b
143,4,Type a,Type b
143,0,Type a,Type a
143,2,Type a,Type a
144,37,Type b,Type a
144,2,Type b,Type a
144,49,Type b,Type b
145,92,Type a,Type b
145,2,Type a,Type a
145,8,Type a,Type a
146,34,Type b,Type a
146,76,Type b,Type b
146,11,Type b,Type b
147,2,Type a,Type a
147,11,Type a,Type b
147,20,Type a,Type b
148,123,Type a,Type b
148,97,Type a,Type b
148,16,Type a,Type a
149,129,Type a,Type a
149,116,Type a,Type b
149,99,Type a,Type a
150,105,Type a,Type a
150,2,Type a,Type a
150,0,Type a,Type a
151,2,Type b,Type a
151,50,Type b,Type b
151,0,Type b,Type a
152,125,Type a,Type a
152,16,Type a,Type a
152,0,Type a,Type a
153,103,Type b,Type a
153,17,Type b,Type a
153,74,Type b,Type a
154,35,Type a,Type b
154,3,Type a,Type b
154,82,Type a,Type b
155,23,Type b,Type a
155,3,Type b,Type b
155,0,Type b,Type a
156,7,Type a,Type b
156,3,Type a,Type b
156,59,Type a,Type b
157,5,Type a,Type b
157,1,Type a,Type b
157,8,Type a,Type a
158,1,Type a,Type b
158,0,Type a,Type a
158,46,Type a,Type a
159,1,Type b,Type b
159,137,Type b,Type a
159,4,Type b,Type b
160,68,Type a,Type a
160,156,Type a,Type a
160,17,Type a,Type a
161,56,Type a,Type a
161,2,Type a,Type a
161,9,Type a,Type b
162,33,Type a,Type b
162,2,Type a,Type a
162,17,Type a,Type a
163,0,Type a,Type a
163,18,Type a,Type b
163,129,Type a,Type a
164,0,Type b,Type a
164,16,Type b,Type a
164,38,Type b,Type b
165,2,Type a,Type a
165,16,Type a,Type a
165,64,Type a,Type b
