# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
440,Type a,6,3
441,Type b,78,3
442,Type a,15,3
443,Type b,34,3
444,Type b,11,3
445,Type b,20,3
446,Type b,9,3
447,Type a,1,3
448,Type b,8,3
449,Type b,24,3
450,Type b,75,3
451,Type b,3,3
452,Type b,17,3
453,Type a,65,3
454,Type b,21,3
455,Type a,5,3
456,Type a,59,3
457,Type a,0,3
458,Type b,71,3
459,Type a,13,3
460,Type a,40,3
461,Type b,2,3
462,Type b,11,3
463,Type a,21,3
464,Type b,42,3
465,Type b,10,3
466,Type b,62,3
467,Type b,27,3
468,Type b,22,3
469,Type a,25,3
470,Type b,3,3
471,Type a,15,3
472,Type a,25,3
473,Type a,17,3
474,Type a,9,3
475,Type a,30,3
476,Type a,35,3
477,Type b,27,3
478,Type a,14,3
479,Type a,63,3
480,Type b,20,3
481,Type b,6,3
482,Type b,25,3
483,Type b,21,3
484,Type a,41,3
485,Type b,22,3
486,Type a,8,3
487,Type a,16,3
488,Type a,10,3
489,Type a,2,3
490,Type a,3,3
491,Type b,0,3
492,Type a,8,3
493,Type a,7,3
494,Type b,25,3
495,Type a,36,3
496,Type b,16,3
497,Type b,70,3
498,Type b,29,3
499,Type a,16,3
500,Type b,7,3
501,Type a,6,3
502,Type a,8,3
503,Type a,5,3
504,Type a,7,3
505,Type b,17,3
506,Type a,17,3
507,Type b,26,3
508,Type b,23,3
509,Type b,20,3
510,Type b,29,3
511,Type b,47,3
512,Type b,19,3
513,Type a,19,3
514,Type b,21,3
515,Type a,16,3
516,Type a,6,3
517,Type b,23,3
518,Type a,8,3
519,Type a,34,3
520,Type a,17,3
521,Type b,13,3
522,Type b,24,3
523,Type b,27,3
524,Type b,23,3
525,Type b,7,3
526,Type a,23,3
527,Type a,6,3
528,Type a,14,3
529,Type a,7,3
530,Type a,25,3
531,Type a,33,3
532,Type b,14,3
533,Type a,14,3
534,Type a,12,3
535,Type b,20,3
536,Type a,18,3
537,Type b,4,3
538,Type b,8,3
539,Type b,6,3
540,Type a,9,3
541,Type a,21,3
542,Type a,14,3
543,Type b,3,3
544,Type b,15,3
545,Type b,17,3
546,Type b,22,3
547,Type a,6,3
548,Type b,12,3
549,Type a,40,3
550,Type a,17,3
551,Type a,27,3
552,Type a,5,3
553,Type a,17,3
554,Type a,57,3
555,Type a,27,3
556,Type a,19,3
557,Type a,2,3
558,Type a,4,3
559,Type a,16,3
560,Type b,4,3
561,Type a,30,3
562,Type b,19,3
563,Type a,25,3
564,Type a,12,3
565,Type a,7,3
566,Type b,8,3
567,Type a,38,3
568,Type b,34,3
569,Type a,6,3
570,Type a,13,3
571,Type a,9,3
572,Type a,29,3
573,Type b,19,3
574,Type a,54,3
575,Type a,35,3
576,Type a,4,3
577,Type b,2,3
578,Type a,5,3
579,Type a,12,3
580,Type a,52,3
581,Type a,28,3
582,Type a,10,3
583,Type a,8,3
584,Type b,29,3
585,Type a,32,3
586,Type b,4,3
587,Type b,17,3
588,Type a,9,3
589,Type a,1,3
590,Type b,32,3
591,Type b,17,3
592,Type a,22,3
593,Type b,10,3
594,Type a,28,3
595,Type b,27,3
596,Type a,6,3
597,Type a,17,3
598,Type a,19,3
599,Type b,9,3
600,Type a,15,3
601,Type b,6,3
