# Network edge list with node attributes
# N: 10030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 10029
# Total edges: 30029
# Type a nodes: 1980
# Type b nodes: 8050
# Generated: 2026-02-15T17:57:38.625592
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
141,91,b,b,17,32,False,False,141,91
142,9,a,b,4,59,False,True,142,9
142,8,a,b,4,54,False,True,142,8
142,4,a,a,4,27,False,True,142,4
143,81,a,b,3,16,False,False,143,81
143,78,a,b,3,14,False,False,143,78
143,30,a,b,3,34,False,False,143,30
144,0,b,b,10,38,False,True,144,0
144,93,b,b,10,16,False,False,144,93
144,58,b,b,10,12,False,False,144,58
145,44,a,b,3,41,False,False,145,44
145,10,a,a,3,15,False,True,145,10
145,94,a,b,3,28,False,False,145,94
146,36,b,b,20,28,False,False,146,36
146,23,b,b,20,27,False,True,146,23
146,141,b,b,20,17,False,False,146,141
147,35,b,b,18,19,False,False,147,35
147,91,b,b,18,32,False,False,147,91
147,25,b,b,18,32,False,True,147,25
148,21,a,b,9,36,False,True,148,21
148,14,a,b,9,36,False,True,148,14
148,119,a,b,9,32,False,False,148,119
149,20,a,b,0,39,False,True,149,20
149,114,a,b,0,25,False,False,149,114
149,69,a,b,0,24,False,False,149,69
150,76,b,b,19,22,False,False,150,76
150,25,b,b,19,32,False,True,150,25
150,42,b,b,19,24,False,False,150,42
151,36,b,b,15,28,False,False,151,36
151,16,b,b,15,35,False,True,151,16
151,112,b,b,15,25,False,False,151,112
152,36,b,b,21,28,False,False,152,36
152,151,b,b,21,15,False,False,152,151
152,43,b,b,21,26,False,False,152,43
153,82,b,b,14,23,False,False,153,82
153,136,b,b,14,19,False,False,153,136
153,41,b,b,14,31,False,False,153,41
154,138,b,b,17,17,False,False,154,138
154,33,b,b,17,19,False,False,154,33
154,67,b,a,17,13,False,False,154,67
155,98,b,b,18,19,False,False,155,98
155,47,b,b,18,22,False,False,155,47
155,124,b,b,18,21,False,False,155,124
156,26,a,b,6,52,False,True,156,26
156,106,a,b,6,18,False,False,156,106
156,85,a,b,6,21,False,False,156,85
157,8,a,b,10,54,False,True,157,8
157,11,a,b,10,42,False,True,157,11
157,20,a,b,10,39,False,True,157,20
158,61,b,b,14,23,False,False,158,61
158,155,b,b,14,18,False,False,158,155
158,76,b,b,14,22,False,False,158,76
159,111,b,b,14,26,False,False,159,111
159,76,b,b,14,22,False,False,159,76
159,52,b,b,14,45,False,False,159,52
160,17,b,b,18,54,False,True,160,17
160,41,b,b,18,31,False,False,160,41
160,9,b,b,18,59,False,True,160,9
161,99,b,b,30,29,False,False,161,99
161,7,b,a,30,30,False,True,161,7
161,150,b,b,30,19,False,False,161,150
162,65,b,b,22,30,False,False,162,65
162,117,b,b,22,16,False,False,162,117
162,5,b,b,22,43,False,True,162,5
163,117,b,b,23,16,False,False,163,117
163,62,b,b,23,13,False,False,163,62
163,116,b,b,23,22,False,False,163,116
164,154,b,b,27,17,False,False,164,154
164,41,b,b,27,31,False,False,164,41
164,23,b,b,27,27,False,True,164,23
165,52,b,b,21,45,False,False,165,52
165,152,b,b,21,21,False,False,165,152
165,162,b,b,21,22,False,False,165,162
166,9,b,b,14,59,False,True,166,9
166,76,b,b,14,22,False,False,166,76
166,50,b,b,14,34,False,False,166,50
167,115,b,b,26,19,False,False,167,115
167,161,b,b,26,30,False,False,167,161
167,150,b,b,26,19,False,False,167,150
168,23,a,b,6,27,False,True,168,23
168,31,a,b,6,17,False,False,168,31
168,129,a,b,6,13,False,False,168,129
169,136,b,b,15,19,False,False,169,136
169,65,b,b,15,30,False,False,169,65
169,12,b,a,15,79,False,True,169,12
170,139,b,b,21,14,False,False,170,139
170,54,b,b,21,25,False,False,170,54
170,52,b,b,21,45,False,False,170,52
171,139,b,b,26,14,False,False,171,139
171,55,b,b,26,19,False,False,171,55
171,96,b,b,26,17,False,False,171,96
172,24,b,a,17,42,False,True,172,24
172,52,b,b,17,45,False,False,172,52
172,29,b,b,17,31,False,True,172,29
173,80,b,b,17,25,False,False,173,80
173,51,b,b,17,18,False,False,173,51
173,50,b,b,17,34,False,False,173,50
174,6,a,b,6,42,False,True,174,6
174,91,a,b,6,32,False,False,174,91
174,42,a,b,6,24,False,False,174,42
175,120,b,a,24,8,False,False,175,120
175,13,b,b,24,50,False,True,175,13
175,169,b,b,24,15,False,False,175,169
176,141,b,b,9,17,False,False,176,141
176,46,b,b,9,24,False,False,176,46
176,154,b,b,9,17,False,False,176,154
177,81,b,b,13,16,False,False,177,81
177,133,b,b,13,19,False,False,177,133
177,111,b,b,13,26,False,False,177,111
178,41,b,b,20,31,False,False,178,41
178,55,b,b,20,19,False,False,178,55
178,147,b,b,20,18,False,False,178,147
179,26,b,b,26,52,False,True,179,26
179,72,b,b,26,48,False,False,179,72
179,131,b,b,26,22,False,False,179,131
180,166,a,b,7,14,False,False,180,166
180,36,a,b,7,28,False,False,180,36
180,22,a,b,7,26,False,True,180,22
181,24,b,a,9,42,False,True,181,24
181,165,b,b,9,21,False,False,181,165
181,89,b,b,9,33,False,False,181,89
182,59,a,b,3,19,False,False,182,59
182,170,a,b,3,21,False,False,182,170
182,8,a,b,3,54,False,True,182,8
183,25,b,b,19,32,False,True,183,25
183,6,b,b,19,42,False,True,183,6
183,20,b,b,19,39,False,True,183,20
184,167,b,b,12,26,False,False,184,167
184,152,b,b,12,21,False,False,184,152
184,85,b,b,12,21,False,False,184,85
185,13,b,b,9,50,False,True,185,13
185,2,b,a,9,25,False,True,185,2
185,54,b,b,9,25,False,False,185,54
186,21,b,b,10,36,False,True,186,21
186,167,b,b,10,26,False,False,186,167
186,174,b,a,10,6,False,False,186,174
187,93,b,b,8,16,False,False,187,93
187,61,b,b,8,23,False,False,187,61
187,67,b,a,8,13,False,False,187,67
188,55,b,b,29,19,False,False,188,55
188,6,b,b,29,42,False,True,188,6
188,116,b,b,29,22,False,False,188,116
189,109,b,a,17,5,False,False,189,109
189,126,b,b,17,16,False,False,189,126
189,95,b,b,17,20,False,False,189,95
190,116,b,b,12,22,False,False,190,116
190,173,b,b,12,17,False,False,190,173
190,106,b,b,12,18,False,False,190,106
191,136,a,b,4,19,False,False,191,136
191,43,a,b,4,26,False,False,191,43
191,161,a,b,4,30,False,False,191,161
192,159,b,b,30,14,False,False,192,159
192,26,b,b,30,52,False,True,192,26
192,125,b,a,30,7,False,False,192,125
193,54,b,b,16,25,False,False,193,54
193,5,b,b,16,43,False,True,193,5
193,33,b,b,16,19,False,False,193,33
194,43,b,b,13,26,False,False,194,43
194,183,b,b,13,19,False,False,194,183
194,64,b,b,13,26,False,False,194,64
195,90,b,b,10,24,False,False,195,90
195,82,b,b,10,23,False,False,195,82
195,65,b,b,10,30,False,False,195,65
196,86,b,b,22,24,False,False,196,86
196,194,b,b,22,13,False,False,196,194
196,130,b,b,22,29,False,False,196,130
197,27,b,a,5,45,False,True,197,27
197,30,b,b,5,34,False,False,197,30
197,48,b,b,5,25,False,False,197,48
198,33,b,b,31,19,False,False,198,33
198,154,b,b,31,17,False,False,198,154
198,5,b,b,31,43,False,True,198,5
199,35,b,b,22,19,False,False,199,35
199,90,b,b,22,24,False,False,199,90
199,131,b,b,22,22,False,False,199,131
200,113,b,b,33,20,False,False,200,113
200,147,b,b,33,18,False,False,200,147
200,107,b,b,33,29,False,False,200,107
201,95,b,b,13,20,False,False,201,95
201,30,b,b,13,34,False,False,201,30
201,177,b,b,13,13,False,False,201,177
202,196,a,b,0,22,False,False,202,196
202,132,a,b,0,15,False,False,202,132
202,127,a,b,0,14,False,False,202,127
203,14,b,b,20,36,False,True,203,14
203,127,b,b,20,14,False,False,203,127
203,41,b,b,20,31,False,False,203,41
204,65,b,b,19,30,False,False,204,65
204,188,b,b,19,29,False,False,204,188
204,171,b,b,19,26,False,False,204,171
205,24,a,a,13,42,False,True,205,24
205,30,a,b,13,34,False,False,205,30
205,192,a,b,13,30,False,False,205,192
206,47,b,b,18,22,False,False,206,47
206,50,b,b,18,34,False,False,206,50
206,190,b,b,18,12,False,False,206,190
207,110,a,b,7,20,False,False,207,110
207,200,a,b,7,33,False,False,207,200
207,131,a,b,7,22,False,False,207,131
208,17,b,b,23,54,False,True,208,17
208,6,b,b,23,42,False,True,208,6
208,159,b,b,23,14,False,False,208,159
209,26,b,b,8,52,False,True,209,26
209,52,b,b,8,45,False,False,209,52
209,7,b,a,8,30,False,True,209,7
210,36,b,b,10,28,False,False,210,36
210,18,b,a,10,59,False,True,210,18
210,88,b,b,10,13,False,False,210,88
211,13,b,b,25,50,False,True,211,13
211,86,b,b,25,24,False,False,211,86
211,208,b,b,25,23,False,False,211,208
212,41,b,b,9,31,False,False,212,41
212,121,b,b,9,17,False,False,212,121
212,5,b,b,9,43,False,True,212,5
213,8,a,b,0,54,False,True,213,8
213,13,a,b,0,50,False,True,213,13
213,94,a,b,0,28,False,False,213,94
214,116,b,b,7,22,False,False,214,116
214,80,b,b,7,25,False,False,214,80
214,131,b,b,7,22,False,False,214,131
215,93,b,b,14,16,False,False,215,93
215,38,b,b,14,26,False,False,215,38
215,130,b,b,14,29,False,False,215,130
216,55,b,b,20,19,False,False,216,55
216,88,b,b,20,13,False,False,216,88
216,77,b,b,20,18,False,False,216,77
217,115,b,b,8,19,False,False,217,115
217,139,b,b,8,14,False,False,217,139
217,112,b,b,8,25,False,False,217,112
218,198,b,b,22,31,False,False,218,198
218,0,b,b,22,38,False,True,218,0
218,162,b,b,22,22,False,False,218,162
219,217,b,b,10,8,False,False,219,217
219,84,b,a,10,6,False,False,219,84
219,34,b,a,10,13,False,False,219,34
220,36,b,b,17,28,False,False,220,36
220,83,b,b,17,25,False,False,220,83
220,26,b,b,17,52,False,True,220,26
221,52,b,b,18,45,False,False,221,52
221,170,b,b,18,21,False,False,221,170
221,188,b,b,18,29,False,False,221,188
222,192,b,b,24,30,False,False,222,192
222,29,b,b,24,31,False,True,222,29
222,123,b,b,24,15,False,False,222,123
223,18,b,a,6,59,False,True,223,18
223,65,b,b,6,30,False,False,223,65
223,160,b,b,6,18,False,False,223,160
224,93,b,b,18,16,False,False,224,93
224,168,b,a,18,6,False,False,224,168
224,18,b,a,18,59,False,True,224,18
225,130,b,b,19,29,False,False,225,130
225,87,b,b,19,21,False,False,225,87
225,219,b,b,19,10,False,False,225,219
226,49,b,b,18,24,False,False,226,49
226,39,b,a,18,9,False,False,226,39
226,52,b,b,18,45,False,False,226,52
227,99,b,b,14,29,False,False,227,99
227,91,b,b,14,32,False,False,227,91
227,114,b,b,14,25,False,False,227,114
228,164,b,b,10,27,False,False,228,164
228,50,b,b,10,34,False,False,228,50
228,80,b,b,10,25,False,False,228,80
229,113,b,b,19,20,False,False,229,113
229,8,b,b,19,54,False,True,229,8
229,80,b,b,19,25,False,False,229,80
230,71,b,b,12,21,False,False,230,71
230,121,b,b,12,17,False,False,230,121
230,132,b,b,12,15,False,False,230,132
231,52,b,b,15,45,False,False,231,52
231,100,b,b,15,18,False,False,231,100
231,12,b,a,15,79,False,True,231,12
232,201,b,b,18,13,False,False,232,201
232,52,b,b,18,45,False,False,232,52
232,9,b,b,18,59,False,True,232,9
233,132,b,b,13,15,False,False,233,132
233,139,b,b,13,14,False,False,233,139
233,214,b,b,13,7,False,False,233,214
234,211,b,b,15,25,False,False,234,211
234,200,b,b,15,33,False,False,234,200
234,204,b,b,15,19,False,False,234,204
235,52,b,b,6,45,False,False,235,52
235,77,b,b,6,18,False,False,235,77
235,151,b,b,6,15,False,False,235,151
236,171,b,b,17,26,False,False,236,171
236,82,b,b,17,23,False,False,236,82
236,193,b,b,17,16,False,False,236,193
237,160,b,b,8,18,False,False,237,160
237,178,b,b,8,20,False,False,237,178
237,31,b,b,8,17,False,False,237,31
238,203,a,b,8,20,False,False,238,203
238,49,a,b,8,24,False,False,238,49
238,52,a,b,8,45,False,False,238,52
239,29,b,b,16,31,False,True,239,29
239,173,b,b,16,17,False,False,239,173
239,86,b,b,16,24,False,False,239,86
240,196,b,b,14,22,False,False,240,196
240,234,b,b,14,15,False,False,240,234
240,71,b,b,14,21,False,False,240,71
241,189,a,b,3,17,False,False,241,189
241,110,a,b,3,20,False,False,241,110
241,12,a,a,3,79,False,True,241,12
242,190,b,b,8,12,False,False,242,190
242,128,b,a,8,5,False,False,242,128
242,87,b,b,8,21,False,False,242,87
243,102,b,b,14,25,False,False,243,102
243,88,b,b,14,13,False,False,243,88
243,203,b,b,14,20,False,False,243,203
244,179,b,b,20,26,False,False,244,179
244,34,b,a,20,13,False,False,244,34
