# frac_nodes grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:08.209908
m,n0,frac_nodes,valid
13,130,0.9464493597206054,True
15,130,0.9468713105076741,True
17,130,0.9427890345649583,True
19,130,0.9399416909620991,True
21,130,0.9367015098722415,True
23,130,0.9398584905660378,True
25,130,0.9486119314825753,True
27,130,0.9512338425381903,True
29,130,0.9420289855072463,True
31,130,0.9498229043683589,True
33,130,0.9498249708284714,True
1,140,0.0,True
3,140,0.9502026635784597,True
5,140,0.9450292397660819,True
7,140,0.9426419466975666,True
9,140,0.9381261048909841,True
11,140,0.935080405002978,True
13,140,0.9452706722189174,True
15,140,0.9299474605954466,True
17,140,0.9391304347826087,True
19,140,0.9450292397660819,True
21,140,0.9281159420289855,True
23,140,0.9329805996472663,True
25,140,0.9350947731188972,True
27,140,0.9422740524781341,True
29,140,0.9331810394060537,True
31,140,0.9360093077370564,True
33,140,0.9404129793510324,True
1,150,0.0,True
3,150,0.9514008004574043,True
5,150,0.9321058688147296,True
7,150,0.9393404004711425,True
9,150,0.9466900995899239,True
11,150,0.9335664335664335,True
13,150,0.9330254041570438,True
15,150,0.9358683314415437,True
17,150,0.9304347826086956,True
19,150,0.9286125503742084,True
21,150,0.927400468384075,True
23,150,0.931320307874482,True
25,150,0.9427414690572585,True
27,150,0.9307737056428156,True
29,150,0.9239256678281068,True
31,150,0.9269565217391305,True
33,150,0.9446064139941691,True
