# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
118,30,added,added,Type b,Type b
119,29,added,added,Type b,Type b
119,47,added,added,Type b,Type b
120,28,added,added,Type a,Type a
120,1,added,initial_core,Type a,Type b
121,26,added,added,Type a,Type a
121,12,added,added,Type a,Type a
122,15,added,added,Type a,Type a
122,12,added,added,Type a,Type a
123,79,added,added,Type a,Type a
123,98,added,added,Type a,Type a
124,23,added,added,Type b,Type b
124,100,added,added,Type b,Type a
125,124,added,added,Type a,Type b
125,3,added,initial_core,Type a,Type b
126,44,added,added,Type b,Type a
126,32,added,added,Type b,Type b
127,88,added,added,Type b,Type a
127,87,added,added,Type b,Type b
128,20,added,added,Type a,Type b
128,46,added,added,Type a,Type a
129,85,added,added,Type a,Type a
129,45,added,added,Type a,Type a
130,55,added,added,Type a,Type a
130,118,added,added,Type a,Type b
131,57,added,added,Type b,Type a
131,7,added,added,Type b,Type a
132,22,added,added,Type b,Type a
132,108,added,added,Type b,Type a
133,60,added,added,Type a,Type a
133,104,added,added,Type a,Type a
134,14,added,added,Type a,Type b
134,5,added,added,Type a,Type a
135,18,added,added,Type a,Type a
135,112,added,added,Type a,Type b
136,3,added,initial_core,Type a,Type b
136,120,added,added,Type a,Type a
137,30,added,added,Type a,Type b
137,66,added,added,Type a,Type a
138,8,added,added,Type b,Type a
138,7,added,added,Type b,Type a
139,100,added,added,Type a,Type a
139,119,added,added,Type a,Type b
140,67,added,added,Type a,Type a
140,29,added,added,Type a,Type b
141,14,added,added,Type b,Type b
141,12,added,added,Type b,Type a
142,108,added,added,Type a,Type a
142,5,added,added,Type a,Type a
143,10,added,added,Type a,Type a
143,120,added,added,Type a,Type a
144,18,added,added,Type a,Type a
144,67,added,added,Type a,Type a
145,51,added,added,Type a,Type a
145,28,added,added,Type a,Type a
146,55,added,added,Type a,Type a
146,20,added,added,Type a,Type b
147,139,added,added,Type a,Type a
147,104,added,added,Type a,Type a
148,18,added,added,Type a,Type a
148,0,added,initial_core,Type a,Type a
149,12,added,added,Type b,Type a
149,40,added,added,Type b,Type b
150,85,added,added,Type b,Type a
150,5,added,added,Type b,Type a
151,91,added,added,Type a,Type a
151,1,added,initial_core,Type a,Type b
152,1,added,initial_core,Type a,Type b
152,8,added,added,Type a,Type a
153,108,added,added,Type a,Type a
153,85,added,added,Type a,Type a
154,55,added,added,Type a,Type a
154,39,added,added,Type a,Type b
155,22,added,added,Type a,Type a
155,88,added,added,Type a,Type a
156,11,added,added,Type a,Type b
156,22,added,added,Type a,Type a
157,94,added,added,Type a,Type a
157,26,added,added,Type a,Type a
158,45,added,added,Type b,Type a
158,97,added,added,Type b,Type b
159,27,added,added,Type b,Type a
159,3,added,initial_core,Type b,Type b
160,0,added,initial_core,Type a,Type a
160,2,added,initial_core,Type a,Type a
161,44,added,added,Type b,Type a
161,100,added,added,Type b,Type a
162,46,added,added,Type b,Type a
162,86,added,added,Type b,Type b
163,146,added,added,Type b,Type a
163,12,added,added,Type b,Type a
164,37,added,added,Type b,Type a
164,8,added,added,Type b,Type a
165,56,added,added,Type a,Type b
165,129,added,added,Type a,Type a
166,55,added,added,Type b,Type a
166,108,added,added,Type b,Type a
167,2,added,initial_core,Type a,Type a
167,31,added,added,Type a,Type b
168,96,added,added,Type b,Type a
168,78,added,added,Type b,Type a
169,80,added,added,Type a,Type a
169,162,added,added,Type a,Type b
170,87,added,added,Type a,Type b
170,8,added,added,Type a,Type a
171,149,added,added,Type b,Type b
171,9,added,added,Type b,Type a
172,18,added,added,Type b,Type a
172,132,added,added,Type b,Type b
173,99,added,added,Type a,Type b
173,10,added,added,Type a,Type a
174,5,added,added,Type a,Type a
174,112,added,added,Type a,Type b
175,23,added,added,Type a,Type b
175,25,added,added,Type a,Type a
176,11,added,added,Type a,Type b
176,99,added,added,Type a,Type b
177,105,added,added,Type a,Type a
177,5,added,added,Type a,Type a
178,2,added,initial_core,Type a,Type a
178,3,added,initial_core,Type a,Type b
179,63,added,added,Type a,Type b
179,93,added,added,Type a,Type a
180,2,added,initial_core,Type a,Type a
180,27,added,added,Type a,Type a
181,162,added,added,Type b,Type b
181,147,added,added,Type b,Type a
182,159,added,added,Type a,Type b
182,13,added,added,Type a,Type b
183,105,added,added,Type b,Type a
183,0,added,initial_core,Type b,Type a
184,21,added,added,Type a,Type b
184,10,added,added,Type a,Type a
185,57,added,added,Type a,Type a
185,78,added,added,Type a,Type a
186,92,added,added,Type a,Type a
186,20,added,added,Type a,Type b
187,4,added,initial_core,Type a,Type a
187,10,added,added,Type a,Type a
188,126,added,added,Type a,Type b
188,43,added,added,Type a,Type a
189,164,added,added,Type b,Type b
189,110,added,added,Type b,Type b
190,0,added,initial_core,Type b,Type a
190,92,added,added,Type b,Type a
191,108,added,added,Type a,Type a
191,34,added,added,Type a,Type a
192,165,added,added,Type a,Type a
192,8,added,added,Type a,Type a
193,117,added,added,Type b,Type a
193,163,added,added,Type b,Type b
194,25,added,added,Type b,Type a
194,96,added,added,Type b,Type a
195,105,added,added,Type a,Type a
195,176,added,added,Type a,Type a
196,7,added,added,Type a,Type a
196,37,added,added,Type a,Type a
197,27,added,added,Type a,Type a
197,35,added,added,Type a,Type b
198,1,added,initial_core,Type a,Type b
198,83,added,added,Type a,Type a
199,99,added,added,Type a,Type b
199,34,added,added,Type a,Type a
200,20,added,added,Type b,Type b
200,60,added,added,Type b,Type a
201,180,added,added,Type a,Type a
201,18,added,added,Type a,Type a
202,27,added,added,Type b,Type a
202,96,added,added,Type b,Type a
203,119,added,added,Type b,Type b
203,83,added,added,Type b,Type a
204,43,added,added,Type a,Type a
204,6,added,added,Type a,Type a
205,6,added,added,Type a,Type a
205,176,added,added,Type a,Type a
206,168,added,added,Type b,Type b
206,81,added,added,Type b,Type a
207,0,added,initial_core,Type a,Type a
207,60,added,added,Type a,Type a
208,129,added,added,Type b,Type a
208,2,added,initial_core,Type b,Type a
209,5,added,added,Type a,Type a
209,18,added,added,Type a,Type a
210,23,added,added,Type b,Type b
210,56,added,added,Type b,Type b
211,35,added,added,Type a,Type b
211,30,added,added,Type a,Type b
212,2,added,initial_core,Type a,Type a
212,209,added,added,Type a,Type a
213,1,added,initial_core,Type a,Type b
213,176,added,added,Type a,Type a
214,0,added,initial_core,Type a,Type a
214,15,added,added,Type a,Type a
215,116,added,added,Type b,Type a
215,91,added,added,Type b,Type a
216,49,added,added,Type b,Type b
216,181,added,added,Type b,Type b
217,55,added,added,Type a,Type a
217,149,added,added,Type a,Type b
218,14,added,added,Type a,Type b
218,26,added,added,Type a,Type a
219,61,added,added,Type b,Type b
219,27,added,added,Type b,Type a
220,5,added,added,Type b,Type a
220,118,added,added,Type b,Type b
221,60,added,added,Type a,Type a
221,27,added,added,Type a,Type a
222,8,added,added,Type b,Type a
222,166,added,added,Type b,Type b
223,9,added,added,Type b,Type a
223,7,added,added,Type b,Type a
224,44,added,added,Type a,Type a
224,199,added,added,Type a,Type a
225,20,added,added,Type b,Type b
225,52,added,added,Type b,Type a
226,133,added,added,Type a,Type a
226,112,added,added,Type a,Type b
227,85,added,added,Type b,Type a
227,2,added,initial_core,Type b,Type a
228,84,added,added,Type a,Type b
228,88,added,added,Type a,Type a
229,26,added,added,Type b,Type a
229,15,added,added,Type b,Type a
230,88,added,added,Type a,Type a
230,165,added,added,Type a,Type a
231,61,added,added,Type b,Type b
231,34,added,added,Type b,Type a
232,31,added,added,Type b,Type b
232,43,added,added,Type b,Type a
233,60,added,added,Type a,Type a
233,11,added,added,Type a,Type b
234,3,added,initial_core,Type b,Type b
234,1,added,initial_core,Type b,Type b
235,227,added,added,Type a,Type b
235,20,added,added,Type a,Type b
236,3,added,initial_core,Type a,Type b
236,0,added,initial_core,Type a,Type a
237,29,added,added,Type b,Type b
237,159,added,added,Type b,Type b
238,71,added,added,Type a,Type a
238,1,added,initial_core,Type a,Type b
239,195,added,added,Type a,Type a
239,87,added,added,Type a,Type b
240,207,added,added,Type a,Type a
240,29,added,added,Type a,Type b
241,51,added,added,Type a,Type a
241,85,added,added,Type a,Type a
242,31,added,added,Type b,Type b
242,65,added,added,Type b,Type a
243,96,added,added,Type b,Type a
243,20,added,added,Type b,Type b
244,80,added,added,Type b,Type a
244,169,added,added,Type b,Type a
245,107,added,added,Type b,Type b
245,23,added,added,Type b,Type b
246,4,added,initial_core,Type b,Type a
246,107,added,added,Type b,Type b
247,27,added,added,Type a,Type a
247,49,added,added,Type a,Type b
248,55,added,added,Type a,Type a
248,45,added,added,Type a,Type a
249,1,added,initial_core,Type a,Type b
249,4,added,initial_core,Type a,Type a
250,9,added,added,Type b,Type a
250,26,added,added,Type b,Type a
251,35,added,added,Type b,Type b
251,41,added,added,Type b,Type a
252,47,added,added,Type a,Type b
252,82,added,added,Type a,Type a
253,35,added,added,Type a,Type b
253,9,added,added,Type a,Type a
254,1,added,initial_core,Type a,Type b
254,22,added,added,Type a,Type a
255,8,added,added,Type a,Type a
255,2,added,initial_core,Type a,Type a
256,69,added,added,Type b,Type a
256,15,added,added,Type b,Type a
257,20,added,added,Type b,Type b
257,103,added,added,Type b,Type a
258,39,added,added,Type a,Type b
258,209,added,added,Type a,Type a
259,231,added,added,Type b,Type b
259,21,added,added,Type b,Type b
260,109,added,added,Type a,Type b
260,97,added,added,Type a,Type b
261,3,added,initial_core,Type a,Type b
261,176,added,added,Type a,Type a
262,0,added,initial_core,Type a,Type a
262,118,added,added,Type a,Type b
263,135,added,added,Type a,Type a
263,5,added,added,Type a,Type a
264,218,added,added,Type a,Type a
