# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
465,Type b,89,3
466,Type b,45,3
467,Type a,9,3
468,Type b,70,3
469,Type b,42,3
470,Type b,48,3
471,Type b,57,3
472,Type b,71,3
473,Type b,80,3
474,Type b,73,3
475,Type b,46,3
476,Type b,50,3
477,Type a,5,3
478,Type b,55,3
479,Type b,86,3
480,Type b,76,3
481,Type b,48,3
482,Type b,62,3
483,Type a,8,3
484,Type b,51,3
485,Type b,95,3
486,Type b,74,3
487,Type a,12,3
488,Type b,39,3
489,Type b,37,3
490,Type b,75,3
491,Type b,49,3
492,Type b,39,3
493,Type a,7,3
494,Type b,36,3
495,Type b,46,3
496,Type a,2,3
497,Type b,57,3
498,Type b,40,3
499,Type b,68,3
500,Type b,47,3
501,Type b,72,3
502,Type b,70,3
503,Type b,27,3
504,Type b,66,3
505,Type b,113,3
506,Type b,102,3
507,Type b,52,3
508,Type b,28,3
509,Type b,31,3
510,Type b,87,3
511,Type b,41,3
512,Type b,34,3
513,Type b,58,3
514,Type b,29,3
515,Type b,25,3
516,Type b,58,3
517,Type b,83,3
518,Type a,1,3
519,Type b,49,3
520,Type b,40,3
521,Type b,33,3
522,Type b,81,3
523,Type b,62,3
524,Type b,37,3
525,Type b,39,3
526,Type a,2,3
527,Type a,8,3
528,Type b,72,3
529,Type b,69,3
530,Type b,45,3
531,Type b,34,3
532,Type b,45,3
533,Type b,50,3
534,Type b,76,3
535,Type b,36,3
536,Type b,72,3
537,Type b,60,3
538,Type b,32,3
539,Type b,79,3
540,Type b,40,3
541,Type b,72,3
542,Type b,77,3
543,Type b,78,3
544,Type b,58,3
545,Type b,48,3
546,Type b,53,3
547,Type b,47,3
548,Type a,2,3
549,Type b,80,3
550,Type b,100,3
551,Type b,80,3
552,Type b,77,3
553,Type b,60,3
554,Type b,28,3
555,Type b,93,3
556,Type b,73,3
557,Type b,60,3
558,Type b,55,3
559,Type b,42,3
560,Type b,62,3
561,Type b,38,3
562,Type b,60,3
563,Type b,57,3
564,Type b,39,3
565,Type b,55,3
566,Type a,4,3
567,Type b,27,3
568,Type b,63,3
569,Type b,84,3
570,Type b,52,3
571,Type a,2,3
572,Type b,33,3
573,Type b,38,3
574,Type b,38,3
575,Type b,42,3
576,Type b,29,3
577,Type b,77,3
578,Type b,50,3
579,Type b,27,3
580,Type b,86,3
581,Type b,36,3
582,Type b,52,3
583,Type b,48,3
584,Type b,50,3
585,Type b,51,3
586,Type b,71,3
587,Type b,124,3
588,Type b,122,3
589,Type b,45,3
590,Type b,82,3
