# margin grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.591314
m,n0,margin,valid
29,120,0.009345913069377154,True
31,120,0.029289321881345254,True
33,120,0.13071796769724486,True
1,130,0.27796775032291665,True
3,130,0.04934591306937719,True
5,130,0.15135599079307793,True
7,130,0.08980028490086306,True
9,130,0.04934591306937719,True
11,130,0.08980028490086306,True
13,130,0.13071796769724486,True
15,130,0.04934591306937719,True
17,130,0.2140303099901174,True
19,130,0.15135599079307793,True
21,130,0.04934591306937719,True
23,130,0.1102002865335393,True
25,130,0.1102002865335393,True
27,130,0.2140303099901174,True
29,130,0.08980028490086306,True
31,130,0.029289321881345254,True
33,130,0.029289321881345254,True
1,140,0.15135599079307793,True
3,140,0.08980028490086306,True
5,140,0.06951595925317561,True
7,140,0.029289321881345254,True
9,140,0.04934591306937719,True
11,140,0.009345913069377154,True
13,140,0.23519259301592133,True
15,140,0.13071796769724486,True
17,140,0.009345913069377154,True
19,140,0.029289321881345254,True
21,140,0.04934591306937719,True
23,140,0.15135599079307793,True
25,140,0.029289321881345254,True
27,140,0.1102002865335393,True
29,140,0.08980028490086306,True
31,140,0.1102002865335393,True
33,140,0.04934591306937719,True
1,150,0.25650196853444973,True
3,150,0.009345913069377154,True
5,150,0.029289321881345254,True
7,150,0.13071796769724486,True
9,150,0.2140303099901174,True
11,150,0.04934591306937719,True
13,150,0.029289321881345254,True
15,150,0.1102002865335393,True
17,150,0.08980028490086306,True
19,150,0.1102002865335393,True
21,150,0.029289321881345254,True
23,150,0.08980028490086306,True
25,150,0.13071796769724486,True
27,150,0.009345913069377154,True
29,150,0.029289321881345254,True
31,150,0.029289321881345254,True
33,150,0.23519259301592133,True
