# Beta MLE analysis
# Sweep: n0, value: 115
# Node type: b, a: 0
# Generated: 2026-02-16T00:00:18.972425
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
11,0.2590755667498172,0.0035796567214611665,0.2588758900695514,0.07713220424355609,-1.3056372458197274,1.4599016543068395,16.590277684574787,3.795383288886064,15.625,6.177777181278634,-18.11267586759218,30.468230230149445,6.799218412125442,1.3320728118832688,6.457838610480964,5.286285741028339,-15.340937889511713,25.913509371568388
12,0.2587361214420491,0.006290517759637813,0.2588758900695514,-0.05399059273722293,-2.483926326786369,2.375945141311923,16.779405344071556,3.1665462257819605,15.625,7.388194202057957,-12.87770164294659,27.654090047062503,6.8688901231705985,1.098019883854793,6.457838610480964,6.365156168853534,-10.637744493184151,23.36805683089122
13,0.25843918223914975,0.004144888043482855,0.2588758900695514,-0.16869389817813604,-1.7698040063343108,1.4324162099780386,16.904889540753615,3.1678290295371205,15.625,8.191293060823137,-12.082812728214433,28.465398849860705,6.9122557813103604,1.08711439969819,6.457838610480964,7.036675863839099,-9.797352752698663,23.870704480376858
15,0.2588996802866084,0.002982067494661192,0.2588758900695514,0.009189815648964206,-1.142739587224362,1.1611192185222905,16.58256416909853,2.5788102951927496,15.625,6.128410682230583,-10.375975207003016,22.632796571464183,6.796840598938192,0.8558724491472754,6.457838610480964,5.249465167912885,-8.003768627032205,18.502698962857973
16,0.25899884998896167,0.002875319553152592,0.2588758900695514,0.047497632698515466,-1.063196589301103,1.158191854698134,16.473835743215226,2.166322855640197,15.625,5.432548756577444,-8.431917519519818,19.297015032674704,6.76038823799725,0.7147988906654903,6.457838610480964,4.684998275200823,-6.383703403180914,15.753699953582561
17,0.2587024384311409,0.0017319351578846025,0.2588758900695514,-0.06700185110476571,-0.7360232719173755,0.602019569707844,16.485564589131467,2.016523885231277,15.625,5.5076133704413905,-7.398139495038784,18.413366235921565,6.763855359735246,0.6582116255394231,6.457838610480964,4.738686853487205,-5.4537577900063114,14.931131496980722
18,0.25909785069738767,0.0020082848954086703,0.2588758900695514,0.08574016984610462,-0.6900311446896408,0.8615114843818501,16.39959307788515,2.020457843139805,15.625,4.957395698464961,-7.9735344976297915,17.888325894559713,6.733710431214011,0.6604865647628028,6.457838610480964,4.271890912314084,-5.955781295084287,14.499563119712455
19,0.2590506572176504,0.0014536974259097403,0.2588758900695514,0.067510013409145,-0.4940322088191127,0.6290522356374026,16.442646263572797,2.033182779781845,15.625,5.2329360868659025,-7.7794337037379035,18.245305877469708,6.748705459564736,0.6641388128170262,6.457838610480964,4.504089783409879,-5.780137693863092,14.788317260682849
20,0.2589552005898691,0.001725604202804496,0.2588758900695514,0.030636503189373415,-0.6359393615390426,0.6972123679177894,16.281116802112535,2.1157198513628437,15.625,4.199147533520227,-9.341459515201972,17.739754582242426,6.691602619500794,0.6846373935674149,6.457838610480964,3.6198490411394766,-6.981800130709754,14.221498212988706
21,0.2589051229849732,0.0012812760672429417,0.2588758900695514,0.011292251052784466,-0.48364610218617693,0.5062306042917458,16.258619286781794,2.172218907975638,15.625,4.055163435403483,-9.847037575640602,17.957364446447567,6.683422551690892,0.7036698218790008,6.457838610480964,3.4931802235473817,-7.403187188561004,14.389547635655768
