# Network edge list with node attributes
# N: 20030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 20029
# Total edges: 60028
# Type a nodes: 4087
# Type b nodes: 15943
# Generated: 2026-02-15T17:50:44.090406
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
133,65,b,b,29,23,False,False,133,65
133,4,b,b,29,62,False,True,133,4
134,95,b,a,27,41,False,False,134,95
134,104,b,b,27,15,False,False,134,104
134,89,b,b,27,28,False,False,134,89
135,56,b,b,15,25,False,False,135,56
135,61,b,b,15,45,False,False,135,61
135,29,b,a,15,54,False,True,135,29
136,54,b,b,21,44,False,False,136,54
136,100,b,b,21,31,False,False,136,100
136,25,b,b,21,45,False,True,136,25
137,104,b,b,20,15,False,False,137,104
137,120,b,b,20,37,False,False,137,120
137,14,b,a,20,104,False,True,137,14
138,124,b,b,11,11,False,False,138,124
138,21,b,b,11,47,False,True,138,21
138,38,b,b,11,39,False,False,138,38
139,62,b,b,15,30,False,False,139,62
139,59,b,b,15,31,False,False,139,59
139,27,b,b,15,29,False,True,139,27
140,35,b,b,22,31,False,False,140,35
140,50,b,a,22,26,False,False,140,50
140,54,b,b,22,44,False,False,140,54
141,113,a,b,7,26,False,False,141,113
141,100,a,b,7,31,False,False,141,100
141,47,a,a,7,27,False,False,141,47
142,6,b,b,32,45,False,True,142,6
142,107,b,b,32,27,False,False,142,107
142,127,b,b,32,32,False,False,142,127
143,27,b,b,19,29,False,True,143,27
143,89,b,b,19,28,False,False,143,89
143,116,b,b,19,16,False,False,143,116
144,104,b,b,15,15,False,False,144,104
144,142,b,b,15,32,False,False,144,142
144,86,b,b,15,21,False,False,144,86
145,60,a,b,48,24,False,False,145,60
145,12,a,b,48,41,False,True,145,12
145,76,a,b,48,40,False,False,145,76
146,70,b,b,38,23,False,False,146,70
146,127,b,b,38,32,False,False,146,127
146,33,b,b,38,61,False,False,146,33
147,93,b,b,22,29,False,False,147,93
147,13,b,b,22,48,False,True,147,13
147,43,b,b,22,34,False,False,147,43
148,82,b,b,16,32,False,False,148,82
148,128,b,b,16,19,False,False,148,128
148,4,b,b,16,62,False,True,148,4
149,114,b,b,24,35,False,False,149,114
149,107,b,b,24,27,False,False,149,107
149,89,b,b,24,28,False,False,149,89
150,113,b,b,30,26,False,False,150,113
150,93,b,b,30,29,False,False,150,93
150,96,b,b,30,28,False,False,150,96
151,109,b,b,27,46,False,False,151,109
151,30,b,b,27,31,False,False,151,30
151,149,b,b,27,24,False,False,151,149
152,105,b,b,22,25,False,False,152,105
152,14,b,a,22,104,False,True,152,14
152,33,b,b,22,61,False,False,152,33
153,43,b,b,24,34,False,False,153,43
153,62,b,b,24,30,False,False,153,62
153,64,b,b,24,31,False,False,153,64
154,142,a,b,14,32,False,False,154,142
154,150,a,b,14,30,False,False,154,150
154,112,a,b,14,25,False,False,154,112
155,82,b,b,24,32,False,False,155,82
155,12,b,b,24,41,False,True,155,12
155,7,b,b,24,43,False,True,155,7
156,33,b,b,31,61,False,False,156,33
156,47,b,a,31,27,False,False,156,47
156,59,b,b,31,31,False,False,156,59
157,20,b,b,16,37,False,True,157,20
157,34,b,b,16,39,False,False,157,34
157,72,b,b,16,27,False,False,157,72
158,19,b,b,23,35,False,True,158,19
158,133,b,b,23,29,False,False,158,133
158,157,b,b,23,16,False,False,158,157
159,49,b,b,22,23,False,False,159,49
159,154,b,a,22,14,False,False,159,154
159,56,b,b,22,25,False,False,159,56
160,136,b,b,41,21,False,False,160,136
160,6,b,b,41,45,False,True,160,6
160,156,b,b,41,31,False,False,160,156
161,128,b,b,25,19,False,False,161,128
161,136,b,b,25,21,False,False,161,136
161,61,b,b,25,45,False,False,161,61
162,90,a,b,10,31,False,False,162,90
162,11,a,b,10,42,False,True,162,11
162,87,a,b,10,31,False,False,162,87
163,5,a,b,5,50,False,True,163,5
163,4,a,b,5,62,False,True,163,4
163,103,a,b,5,32,False,False,163,103
164,107,b,b,28,27,False,False,164,107
164,90,b,b,28,31,False,False,164,90
164,4,b,b,28,62,False,True,164,4
165,41,b,b,28,40,False,False,165,41
165,23,b,b,28,31,False,True,165,23
165,109,b,b,28,46,False,False,165,109
166,47,b,a,23,27,False,False,166,47
166,4,b,b,23,62,False,True,166,4
166,134,b,b,23,27,False,False,166,134
167,34,b,b,12,39,False,False,167,34
167,64,b,b,12,31,False,False,167,64
167,165,b,b,12,28,False,False,167,165
168,8,b,b,24,57,False,True,168,8
168,79,b,a,24,7,False,False,168,79
168,44,b,b,24,36,False,False,168,44
169,39,b,b,17,47,False,False,169,39
169,153,b,b,17,24,False,False,169,153
169,95,b,a,17,41,False,False,169,95
170,134,a,b,35,27,False,False,170,134
170,96,a,b,35,28,False,False,170,96
170,40,a,b,35,33,False,False,170,40
171,92,b,a,25,48,False,False,171,92
171,20,b,b,25,37,False,True,171,20
171,17,b,a,25,77,False,True,171,17
172,106,a,b,12,14,False,False,172,106
172,16,a,b,12,52,False,True,172,16
172,108,a,b,12,27,False,False,172,108
173,133,b,b,18,29,False,False,173,133
173,61,b,b,18,45,False,False,173,61
173,18,b,b,18,30,False,True,173,18
174,52,b,b,18,31,False,False,174,52
174,36,b,b,18,17,False,False,174,36
174,114,b,b,18,35,False,False,174,114
175,110,b,b,28,35,False,False,175,110
175,151,b,b,28,27,False,False,175,151
175,121,b,b,28,17,False,False,175,121
176,151,b,b,16,27,False,False,176,151
176,158,b,b,16,23,False,False,176,158
176,69,b,a,16,20,False,False,176,69
177,142,b,b,22,32,False,False,177,142
177,44,b,b,22,36,False,False,177,44
177,69,b,a,22,20,False,False,177,69
178,173,b,b,40,18,False,False,178,173
178,120,b,b,40,37,False,False,178,120
178,40,b,b,40,33,False,False,178,40
179,15,a,b,6,33,False,True,179,15
179,20,a,b,6,37,False,True,179,20
179,169,a,b,6,17,False,False,179,169
180,7,a,b,2,43,False,True,180,7
180,75,a,b,2,28,False,False,180,75
180,128,a,b,2,19,False,False,180,128
181,13,b,b,30,48,False,True,181,13
181,36,b,b,30,17,False,False,181,36
181,33,b,b,30,61,False,False,181,33
182,114,a,b,3,35,False,False,182,114
182,78,a,a,3,6,False,False,182,78
182,127,a,b,3,32,False,False,182,127
183,65,b,b,9,23,False,False,183,65
183,145,b,a,9,48,False,False,183,145
183,109,b,b,9,46,False,False,183,109
184,25,b,b,24,45,False,True,184,25
184,106,b,b,24,14,False,False,184,106
184,140,b,b,24,22,False,False,184,140
185,133,b,b,25,29,False,False,185,133
185,8,b,b,25,57,False,True,185,8
185,7,b,b,25,43,False,True,185,7
186,57,b,b,13,16,False,False,186,57
186,144,b,b,13,15,False,False,186,144
186,39,b,b,13,47,False,False,186,39
187,23,b,b,26,31,False,True,187,23
187,8,b,b,26,57,False,True,187,8
187,3,b,b,26,66,False,True,187,3
188,42,b,b,25,31,False,False,188,42
188,75,b,b,25,28,False,False,188,75
188,14,b,a,25,104,False,True,188,14
189,129,b,b,9,34,False,False,189,129
189,137,b,b,9,20,False,False,189,137
189,58,b,b,9,25,False,False,189,58
190,89,b,b,25,28,False,False,190,89
190,184,b,b,25,24,False,False,190,184
190,105,b,b,25,25,False,False,190,105
191,6,b,b,26,45,False,True,191,6
191,35,b,b,26,31,False,False,191,35
191,87,b,b,26,31,False,False,191,87
192,99,b,b,35,24,False,False,192,99
192,109,b,b,35,46,False,False,192,109
192,86,b,b,35,21,False,False,192,86
193,4,b,b,14,62,False,True,193,4
193,15,b,b,14,33,False,True,193,15
193,162,b,a,14,10,False,False,193,162
194,3,b,b,27,66,False,True,194,3
194,117,b,b,27,29,False,False,194,117
194,39,b,b,27,47,False,False,194,39
195,150,b,b,24,30,False,False,195,150
195,155,b,b,24,24,False,False,195,155
195,71,b,b,24,27,False,False,195,71
196,122,a,b,10,23,False,False,196,122
196,125,a,b,10,18,False,False,196,125
196,167,a,b,10,12,False,False,196,167
197,114,b,b,31,35,False,False,197,114
197,59,b,b,31,31,False,False,197,59
197,100,b,b,31,31,False,False,197,100
198,3,b,b,27,66,False,True,198,3
198,62,b,b,27,30,False,False,198,62
198,178,b,b,27,40,False,False,198,178
199,168,b,b,21,24,False,False,199,168
199,130,b,b,21,18,False,False,199,130
199,51,b,b,21,48,False,False,199,51
200,80,b,b,23,19,False,False,200,80
200,178,b,b,23,40,False,False,200,178
200,173,b,b,23,18,False,False,200,173
201,154,b,a,31,14,False,False,201,154
201,34,b,b,31,39,False,False,201,34
201,25,b,b,31,45,False,True,201,25
202,157,b,b,14,16,False,False,202,157
202,110,b,b,14,35,False,False,202,110
202,69,b,a,14,20,False,False,202,69
203,114,b,b,32,35,False,False,203,114
203,173,b,b,32,18,False,False,203,173
203,54,b,b,32,44,False,False,203,54
204,114,b,b,28,35,False,False,204,114
204,95,b,a,28,41,False,False,204,95
204,134,b,b,28,27,False,False,204,134
205,43,a,b,6,34,False,False,205,43
205,93,a,b,6,29,False,False,205,93
205,41,a,b,6,40,False,False,205,41
206,11,b,b,19,42,False,True,206,11
206,188,b,b,19,25,False,False,206,188
206,5,b,b,19,50,False,True,206,5
207,130,b,b,18,18,False,False,207,130
207,70,b,b,18,23,False,False,207,70
207,204,b,b,18,28,False,False,207,204
208,155,a,b,4,24,False,False,208,155
208,148,a,b,4,16,False,False,208,148
208,184,a,b,4,24,False,False,208,184
209,165,b,b,17,28,False,False,209,165
209,5,b,b,17,50,False,True,209,5
209,109,b,b,17,46,False,False,209,109
210,97,a,b,1,28,False,False,210,97
210,91,a,b,1,16,False,False,210,91
210,170,a,a,1,35,False,False,210,170
211,105,a,b,10,25,False,False,211,105
211,157,a,b,10,16,False,False,211,157
211,94,a,b,10,41,False,False,211,94
212,200,b,b,15,23,False,False,212,200
212,71,b,b,15,27,False,False,212,71
212,42,b,b,15,31,False,False,212,42
213,132,b,b,20,16,False,False,213,132
213,5,b,b,20,50,False,True,213,5
213,41,b,b,20,40,False,False,213,41
214,42,b,b,12,31,False,False,214,42
214,134,b,b,12,27,False,False,214,134
214,62,b,b,12,30,False,False,214,62
215,60,b,b,34,24,False,False,215,60
215,89,b,b,34,28,False,False,215,89
215,59,b,b,34,31,False,False,215,59
216,26,b,b,26,40,False,True,216,26
216,169,b,b,26,17,False,False,216,169
216,158,b,b,26,23,False,False,216,158
217,105,b,b,28,25,False,False,217,105
217,216,b,b,28,26,False,False,217,216
217,114,b,b,28,35,False,False,217,114
218,176,b,b,31,16,False,False,218,176
218,33,b,b,31,61,False,False,218,33
218,167,b,b,31,12,False,False,218,167
219,4,b,b,16,62,False,True,219,4
219,27,b,b,16,29,False,True,219,27
219,98,b,b,16,22,False,False,219,98
220,62,b,b,16,30,False,False,220,62
220,92,b,a,16,48,False,False,220,92
220,159,b,b,16,22,False,False,220,159
221,19,b,b,20,35,False,True,221,19
221,118,b,b,20,23,False,False,221,118
221,200,b,b,20,23,False,False,221,200
222,171,b,b,15,25,False,False,222,171
222,122,b,b,15,23,False,False,222,122
222,33,b,b,15,61,False,False,222,33
223,39,a,b,1,47,False,False,223,39
223,34,a,b,1,39,False,False,223,34
223,75,a,b,1,28,False,False,223,75
224,150,b,b,27,30,False,False,224,150
224,109,b,b,27,46,False,False,224,109
224,8,b,b,27,57,False,True,224,8
225,151,b,b,25,27,False,False,225,151
225,159,b,b,25,22,False,False,225,159
225,83,b,a,25,33,False,False,225,83
226,109,b,b,12,46,False,False,226,109
226,71,b,b,12,27,False,False,226,71
226,121,b,b,12,17,False,False,226,121
227,90,b,b,21,31,False,False,227,90
227,25,b,b,21,45,False,True,227,25
227,216,b,b,21,26,False,False,227,216
228,27,a,b,5,29,False,True,228,27
228,16,a,b,5,52,False,True,228,16
228,5,a,b,5,50,False,True,228,5
229,62,b,b,12,30,False,False,229,62
