# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 1
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-18T18:26:12.046114
source,target,source_origin,target_origin,source_type,target_type
192,105,added,added,Type a,Type a
193,61,added,added,Type a,Type a
193,16,added,added,Type a,Type a
194,28,added,added,Type a,Type a
194,94,added,added,Type a,Type a
195,1,added,initial_core,Type a,Type a
195,3,added,initial_core,Type a,Type a
196,0,added,initial_core,Type a,Type a
196,17,added,added,Type a,Type a
197,4,added,initial_core,Type a,Type a
197,1,added,initial_core,Type a,Type a
198,4,added,initial_core,Type a,Type a
198,85,added,added,Type a,Type a
199,153,added,added,Type a,Type a
199,11,added,added,Type a,Type a
200,9,added,added,Type a,Type a
200,175,added,added,Type a,Type a
201,80,added,added,Type a,Type a
201,17,added,added,Type a,Type a
202,61,added,added,Type a,Type a
202,106,added,added,Type a,Type a
203,28,added,added,Type a,Type a
203,27,added,added,Type a,Type a
204,2,added,initial_core,Type a,Type a
204,172,added,added,Type a,Type a
205,160,added,added,Type a,Type a
205,61,added,added,Type a,Type a
206,0,added,initial_core,Type a,Type a
206,40,added,added,Type a,Type a
207,117,added,added,Type a,Type a
207,1,added,initial_core,Type a,Type a
208,2,added,initial_core,Type a,Type a
208,8,added,added,Type a,Type a
209,15,added,added,Type a,Type a
209,37,added,added,Type a,Type a
210,22,added,added,Type a,Type a
210,20,added,added,Type a,Type a
211,1,added,initial_core,Type a,Type a
211,207,added,added,Type a,Type a
212,1,added,initial_core,Type a,Type a
212,169,added,added,Type a,Type a
213,0,added,initial_core,Type a,Type a
213,7,added,added,Type a,Type a
214,103,added,added,Type a,Type a
214,75,added,added,Type a,Type a
215,31,added,added,Type a,Type a
215,174,added,added,Type a,Type a
216,36,added,added,Type a,Type a
216,138,added,added,Type a,Type a
217,7,added,added,Type a,Type a
217,16,added,added,Type a,Type a
218,40,added,added,Type a,Type a
218,17,added,added,Type a,Type a
219,2,added,initial_core,Type a,Type a
219,104,added,added,Type a,Type a
220,39,added,added,Type a,Type a
220,17,added,added,Type a,Type a
221,4,added,initial_core,Type a,Type a
221,158,added,added,Type a,Type a
222,4,added,initial_core,Type a,Type a
222,3,added,initial_core,Type a,Type a
223,28,added,added,Type a,Type a
223,193,added,added,Type a,Type a
224,12,added,added,Type a,Type a
224,34,added,added,Type a,Type a
225,119,added,added,Type a,Type a
225,99,added,added,Type a,Type a
226,64,added,added,Type a,Type a
226,1,added,initial_core,Type a,Type a
227,64,added,added,Type a,Type a
227,69,added,added,Type a,Type a
228,16,added,added,Type a,Type a
228,7,added,added,Type a,Type a
229,69,added,added,Type a,Type a
229,155,added,added,Type a,Type a
230,40,added,added,Type a,Type a
230,22,added,added,Type a,Type a
231,20,added,added,Type a,Type a
231,27,added,added,Type a,Type a
232,39,added,added,Type a,Type a
232,4,added,initial_core,Type a,Type a
233,1,added,initial_core,Type a,Type a
233,50,added,added,Type a,Type a
234,11,added,added,Type a,Type a
234,2,added,initial_core,Type a,Type a
235,0,added,initial_core,Type a,Type a
235,69,added,added,Type a,Type a
236,144,added,added,Type a,Type a
236,5,added,added,Type a,Type a
237,1,added,initial_core,Type a,Type a
237,16,added,added,Type a,Type a
238,66,added,added,Type a,Type a
238,33,added,added,Type a,Type a
239,18,added,added,Type a,Type a
239,1,added,initial_core,Type a,Type a
240,62,added,added,Type a,Type a
240,138,added,added,Type a,Type a
241,43,added,added,Type a,Type a
241,177,added,added,Type a,Type a
242,11,added,added,Type a,Type a
242,202,added,added,Type a,Type a
243,158,added,added,Type a,Type a
243,143,added,added,Type a,Type a
244,15,added,added,Type a,Type a
244,85,added,added,Type a,Type a
245,92,added,added,Type a,Type a
245,46,added,added,Type a,Type a
246,30,added,added,Type a,Type a
246,13,added,added,Type a,Type a
247,28,added,added,Type a,Type a
247,39,added,added,Type a,Type a
248,2,added,initial_core,Type a,Type a
248,167,added,added,Type a,Type a
249,16,added,added,Type a,Type a
249,101,added,added,Type a,Type a
250,26,added,added,Type a,Type a
250,1,added,initial_core,Type a,Type a
251,61,added,added,Type a,Type a
251,30,added,added,Type a,Type a
252,4,added,initial_core,Type a,Type a
252,23,added,added,Type a,Type a
253,14,added,added,Type a,Type a
253,0,added,initial_core,Type a,Type a
254,1,added,initial_core,Type a,Type a
254,210,added,added,Type a,Type a
255,7,added,added,Type a,Type a
255,76,added,added,Type a,Type a
256,86,added,added,Type a,Type a
256,44,added,added,Type a,Type a
257,200,added,added,Type a,Type a
257,99,added,added,Type a,Type a
258,12,added,added,Type a,Type a
258,23,added,added,Type a,Type a
259,80,added,added,Type a,Type a
259,12,added,added,Type a,Type a
260,161,added,added,Type a,Type a
260,19,added,added,Type a,Type a
261,102,added,added,Type a,Type a
261,17,added,added,Type a,Type a
262,2,added,initial_core,Type a,Type a
262,11,added,added,Type a,Type a
263,77,added,added,Type a,Type a
263,27,added,added,Type a,Type a
264,98,added,added,Type a,Type a
264,4,added,initial_core,Type a,Type a
265,192,added,added,Type a,Type a
265,224,added,added,Type a,Type a
266,54,added,added,Type a,Type a
266,210,added,added,Type a,Type a
267,228,added,added,Type a,Type a
267,108,added,added,Type a,Type a
268,193,added,added,Type a,Type a
268,55,added,added,Type a,Type a
269,8,added,added,Type a,Type a
269,13,added,added,Type a,Type a
270,1,added,initial_core,Type a,Type a
270,21,added,added,Type a,Type a
271,2,added,initial_core,Type a,Type a
271,45,added,added,Type a,Type a
272,197,added,added,Type a,Type a
272,54,added,added,Type a,Type a
273,1,added,initial_core,Type a,Type a
273,65,added,added,Type a,Type a
274,28,added,added,Type a,Type a
274,56,added,added,Type a,Type a
275,95,added,added,Type a,Type a
275,80,added,added,Type a,Type a
276,4,added,initial_core,Type a,Type a
276,241,added,added,Type a,Type a
277,261,added,added,Type a,Type a
277,55,added,added,Type a,Type a
278,247,added,added,Type a,Type a
278,85,added,added,Type a,Type a
279,33,added,added,Type a,Type a
279,40,added,added,Type a,Type a
280,4,added,initial_core,Type a,Type a
280,90,added,added,Type a,Type a
281,207,added,added,Type a,Type a
281,69,added,added,Type a,Type a
282,108,added,added,Type a,Type a
282,4,added,initial_core,Type a,Type a
283,5,added,added,Type a,Type a
283,14,added,added,Type a,Type a
